Date,High,Low,Open,Close,Volume,Adj Close
2019-06-07,55.849998474121094,54.91999816894531,54.91999816894531,55.06999969482422,4234800.0,54.31472396850586
2019-06-10,55.900001525878906,54.650001525878906,55.5,54.72999954223633,3312900.0,53.97938919067383
2019-06-11,55.310001373291016,54.47999954223633,55.02000045776367,54.880001068115234,2833700.0,54.1273307800293
2019-06-12,55.47999954223633,54.900001525878906,55.04999923706055,55.45000076293945,3856200.0,54.68951416015625
2019-06-13,57.2400016784668,55.66999816894531,55.689998626708984,56.52000045776367,6300400.0,55.74483871459961
2019-06-14,56.630001068115234,55.779998779296875,56.56999969482422,55.9900016784668,4382500.0,55.222110748291016
2019-06-17,55.939998626708984,55.2599983215332,55.779998779296875,55.66999816894531,4057300.0,54.906494140625
2019-06-18,56.52000045776367,55.459999084472656,55.95000076293945,56.029998779296875,3642500.0,55.261558532714844
2019-06-19,56.560001373291016,55.95000076293945,56.279998779296875,56.36000061035156,3196800.0,55.587032318115234
2019-06-20,56.880001068115234,55.33000183105469,56.849998474121094,55.970001220703125,5055700.0,55.2023811340332
2019-06-21,56.86000061035156,55.560001373291016,56.0,55.9900016784668,8573500.0,55.222110748291016
2019-06-24,56.22999954223633,55.66999816894531,56.099998474121094,56.06999969482422,2896000.0,55.30101013183594
2019-06-25,56.720001220703125,55.86000061035156,56.04999923706055,55.91999816894531,3579600.0,55.1530647277832
2019-06-26,56.810001373291016,55.84000015258789,56.06999969482422,56.380001068115234,4437700.0,55.60675811767578
2019-06-27,57.41999816894531,56.5,56.75,56.81999969482422,4375400.0,56.04072189331055
2019-06-28,57.41999816894531,56.70000076293945,56.88999938964844,56.75,8034800.0,55.971683502197266
2019-07-01,57.900001525878906,57.25,57.29999923706055,57.790000915527344,5020600.0,56.99742126464844
2019-07-02,59.220001220703125,58.09000015258789,58.599998474121094,58.540000915527344,6837100.0,57.73713684082031
2019-07-03,59.619998931884766,58.88999938964844,59.0,59.150001525878906,3303900.0,58.338768005371094
2019-07-05,59.38999938964844,57.849998474121094,59.150001525878906,58.70000076293945,5896900.0,57.89493942260742
2019-07-08,59.66999816894531,58.84000015258789,58.900001525878906,59.369998931884766,7800600.0,58.555747985839844
2019-07-09,59.9900016784668,58.560001373291016,59.56999969482422,58.959999084472656,7870200.0,58.151371002197266
2019-07-10,59.66999816894531,58.7599983215332,59.34000015258789,59.470001220703125,7781300.0,58.65437698364258
2019-07-11,60.790000915527344,59.470001220703125,60.25,60.15999984741211,12695600.0,59.33491516113281
2019-07-12,62.2400016784668,60.02000045776367,60.22999954223633,61.650001525878906,10045700.0,60.804481506347656
2019-07-15,62.40999984741211,61.310001373291016,61.56999969482422,61.70000076293945,5889000.0,60.85379409790039
2019-07-16,63.2599983215332,61.720001220703125,61.880001068115234,63.15999984741211,10319700.0,62.29377365112305
2019-07-17,63.27000045776367,62.189998626708984,63.22999954223633,62.25,7532000.0,61.3962516784668
2019-07-18,62.65999984741211,61.63999938964844,61.77000045776367,62.65999984741211,4482200.0,61.800628662109375
2019-07-19,63.09000015258789,60.86000061035156,62.86000061035156,60.90999984741211,7902700.0,60.07462692260742
2019-07-22,61.630001068115234,61.060001373291016,61.45000076293945,61.290000915527344,4786300.0,60.44942092895508
2019-07-23,63.11000061035156,61.27000045776367,61.45000076293945,63.09000015258789,7452200.0,62.2247314453125
